created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-11-07T18:13:33+00:00,1,31,42,16.56,1008.66,42,"1023



",,,,
2023-11-07T18:15:41+00:00,2,36.2,32,16.85,1008.62,42,"1023



",,,,
2023-11-07T18:20:47+00:00,3,31,43,16.93,1008.48,42,"1023



",,,,
2023-11-07T18:21:13+00:00,4,31,43,16.93,1008.65,42,"1023



",,,,
2023-11-07T18:22:10+00:00,5,31,43,16.93,1008.54,42,"1023



",,,,
2023-11-07T18:23:39+00:00,6,31,43,16.93,1008.49,42,"1023



",,,,
2023-11-07T18:25:08+00:00,7,31,43,16.93,1008.44,42,"1023



",,,,
2023-11-07T18:27:48+00:00,8,31,43,16.93,1008.46,42,"1023



",,,,
2023-11-07T18:35:01+00:00,9,31,43,16.93,1008.28,43,"1023



",,,,
2023-11-07T18:36:11+00:00,10,31,43,16.93,1008.26,43,"1023



",,,,
2023-11-07T18:37:20+00:00,11,31,43,16.93,1008.34,43,"1023



",,,,
2023-11-07T18:38:37+00:00,12,31,44,17.3,1008.3,43,"1023



",,,,
2023-11-07T18:39:47+00:00,13,31,44,17.3,1008.3,43,"1023



",,,,
2023-11-07T18:40:50+00:00,14,31,43,16.93,1008.26,43,"1023



",,,,
2023-11-07T18:43:04+00:00,15,31,44,17.3,1008.21,43,"1023



",,,,
2023-11-07T18:44:07+00:00,16,31,43,16.93,1008.31,43,"1023



",,,,
2023-11-07T18:46:08+00:00,17,31,43,16.93,1008.05,44,"1023



",,,,
2023-11-07T18:48:09+00:00,18,31,43,16.93,1008.14,43,"1023



",,,,
2023-11-07T18:48:42+00:00,19,31,44,17.3,1008.01,44,"1023



",,,,
2023-11-07T18:49:33+00:00,20,31,43,16.93,1008.03,44,"1023



",,,,
2023-11-07T18:50:43+00:00,21,31,44,17.3,1007.99,44,"1023



",,,,
2023-11-07T18:51:09+00:00,22,31,43,16.93,1008.01,44,"1023



",,,,
2023-11-07T18:51:47+00:00,23,31,44,17.3,1008.01,44,"1023



",,,,
2023-11-07T18:52:06+00:00,24,31,43,16.93,1008.06,44,"1023



",,,,
2023-11-07T18:55:56+00:00,25,31,43,16.93,1007.91,44,"1023



",,,,
2023-11-07T18:56:22+00:00,26,31,43,16.93,1007.87,44,"1023



",,,,
2023-11-07T18:57:07+00:00,27,31,43,16.93,1007.89,44,"1023.00



",,,,
2023-11-07T18:58:14+00:00,28,31,43,16.93,1007.94,44,"1023.00



",,,,
2023-11-07T18:59:53+00:00,29,31.3,43,17.2,1007.9,44,"1023.00



",,,,
2023-11-07T19:00:25+00:00,30,31,43,16.93,1007.89,44,"1023.00



",,,,
2023-11-07T19:01:29+00:00,31,31,43,16.93,1007.82,44,"1023.00



",,,,
2023-11-07T19:02:55+00:00,32,31,43,16.93,1007.93,44,"296.00



",,,,
2023-11-07T19:03:21+00:00,33,30.9,42,16.47,1007.9,44,"833.00



",,,,
2023-11-07T19:04:06+00:00,34,30.9,42,16.47,1007.81,44,"818.00



",,,,
2023-11-07T19:05:16+00:00,35,30.9,42,16.47,1007.89,44,"910.00



",,,,
2023-11-07T19:07:04+00:00,36,33.1,39,17.26,1007.78,44,"1023.00



",,,,
2023-11-07T19:10:30+00:00,37,31.6,45,18.2,1007.67,45,"63.00



",,,,
2023-11-07T19:12:12+00:00,38,31.2,43,17.11,1007.41,45,"0.00



",,,,
2023-11-07T19:12:51+00:00,39,31.1,46,18.09,1007.39,45,"0.00



",,,,
2023-11-07T19:14:26+00:00,40,31,44,17.3,1007.41,45,"0.00



",,,,
2023-11-07T19:15:36+00:00,41,30.9,43,16.84,1007.52,45,"385.00



",,,,
2023-11-07T19:15:56+00:00,42,30.8,43,16.75,1007.5,45,"141.00



",,,,
2023-11-07T19:16:28+00:00,43,30.8,43,16.75,1007.44,45,"0.00



",,,,
2023-11-07T19:20:29+00:00,44,30.8,43,16.75,1007.27,46,"1023.00



",,,,
2023-11-07T19:20:48+00:00,45,30.9,43,16.84,1007.27,46,"1023.00



",,,,
